X,Y,Z
320977.0,4168146.989,2945.488
320977.015,4168146.99,2945.49
320977.001,4168146.926,2945.493
320977.013,4168146.898,2945.531
320977.016,4168146.92,2945.504
320977.053,4168146.987,2945.493
320977.027,4168146.915,2945.503
320977.011,4168146.849,2945.533
320977.046,4168146.935,2945.492
320977.036,4168146.843,2945.533
320977.063,4168146.882,2945.54
320977.06,4168146.885,2945.527
320977.07,4168146.914,2945.508
320977.118,4168146.992,2945.509
320977.031,4168146.82,2945.526
320977.045,4168146.841,2945.531
320977.04,4168146.816,2945.522
320977.065,4168146.847,2945.538
320977.126,4168146.963,2945.513
320977.079,4168146.827,2945.538
320977.126,4168146.905,2945.537
320977.111,4168146.843,2945.556
320977.152,4168146.915,2945.55
320977.18,4168146.968,2945.54
320977.198,4168146.998,2945.54
320977.111,4168146.821,2945.553
320977.116,4168146.833,2945.549
320977.136,4168146.858,2945.559
320977.139,4168146.843,2945.56
320977.202,4168146.957,2945.549
320977.22,4168146.987,2945.55
320977.226,4168146.999,2945.546
320977.032,4168146.665,2945.527
320977.043,4168146.696,2945.51
320977.197,4168146.926,2945.551
320977.005,4168146.562,2945.576
320977.008,4168146.592,2945.54
320977.189,4168146.891,2945.55
320977.22,4168146.941,2945.553
320977.234,4168146.961,2945.558
320977.255,4168146.994,2945.561
320977.253,4168146.999,2945.55
320977.005,4168146.53,2945.594
320977.009,4168146.548,2945.579
320977.016,4168146.568,2945.566
320977.023,4168146.602,2945.534
320977.045,4168146.657,2945.507
320977.147,4168146.792,2945.561
320977.192,4168146.87,2945.56
320977.227,4168146.929,2945.558
320977.244,4168146.953,2945.566
320977.243,4168146.958,2945.557
320977.268,4168146.989,2945.573
320977.256,4168146.99,2945.542
320977.026,4168146.549,2945.581
320977.182,4168146.819,2945.574
320977.207,4168146.851,2945.59
320977.246,4168146.947,2945.546
320977.267,4168146.974,2945.559
320977.013,4168146.471,2945.623
320977.004,4168146.469,2945.605
320977.028,4168146.52,2945.589
320977.04,4168146.54,2945.591
320977.078,4168146.626,2945.562
320977.081,4168146.642,2945.545
320977.089,4168146.677,2945.515
320977.203,4168146.831,2945.573
320977.215,4168146.856,2945.567
320977.224,4168146.871,2945.566
320977.252,4168146.918,2945.567
320977.268,4168146.94,2945.574
320977.265,4168146.944,2945.562
320977.01,4168146.449,2945.618
320977.02,4168146.466,2945.618
320977.041,4168146.508,2945.61
320977.061,4168146.536,2945.62
320977.079,4168146.607,2945.56
320977.08,4168146.622,2945.542
320977.088,4168146.636,2945.54
320977.202,4168146.791,2945.598
320977.204,4168146.8,2945.59
320977.226,4168146.854,2945.566
320977.263,4168146.923,2945.557
320977.301,4168146.993,2945.551
320977.015,4168146.432,2945.62
320977.046,4168146.492,2945.611
320977.036,4168146.489,2945.592
320977.088,4168146.569,2945.604
320977.078,4168146.579,2945.566
320977.096,4168146.63,2945.535
320977.127,4168146.676,2945.547
320977.214,4168146.797,2945.588
320977.21,4168146.799,2945.575
320977.246,4168146.874,2945.555
320977.262,4168146.903,2945.553
320977.293,4168146.953,2945.557
320977.058,4168146.495,2945.601
320977.102,4168146.595,2945.568
320977.11,4168146.616,2945.557
320977.188,4168146.742,2945.568
320977.206,4168146.767,2945.577
320977.215,4168146.782,2945.577
320977.21,4168146.784,2945.563
320977.231,4168146.818,2945.565
320977.245,4168146.839,2945.571
320977.26,4168146.868,2945.568
320977.263,4168146.876,2945.561
320977.261,4168146.881,2945.55
320977.057,4168146.456,2945.628
320977.049,4168146.454,2945.611
320977.08,4168146.513,2945.602
320977.088,4168146.535,2945.591
320977.215,4168146.758,2945.585
320977.218,4168146.768,2945.579
320977.227,4168146.783,2945.578
320977.248,4168146.825,2945.572
320977.268,4168146.864,2945.564
320977.27,4168146.872,2945.557
